ids,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,multi_trans,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change
ENSMUST00000067417_ENSMUSG00000021944,0.4124589505748695,0.407525304165357,-0.0049336464095127,1.0111332406869669,0.7152583892666053,1.4076701373570673,0.515,0.485,ENSMUST00000067417,ENSMUSG00000021944,0.4548678660583627,4,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.01597311891514984
ENSMUST00000067426-0_ENSMUSG00000037628,0.3412854658177894,0.5574546730850954,0.2161692072673058,1.2632746378045985,0.874754261959131,1.8154265009661232,0.89,0.11,ENSMUST00000067426-0,ENSMUSG00000037628,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.33716831729359986
ENSMUST00000067476_ENSMUSG00000054408,0.552881630684527,0.3401260277528163,-0.2127556029317114,0.8226801820110016,0.5141266922005882,1.0790789715638245,0.13,0.87,ENSMUST00000067476,ENSMUSG00000054408,0.0,1,0,0,0,0,0,0,1.0,2,0,0,0,1,0,0,0,0,0,0,0,0,-0.2815964048236771
ENSMUST00000067485-0_ENSMUSG00000054414,0.4076962631890721,0.410966452662426,0.0032701894733538,1.0177949419315504,0.7102920296069017,1.332576073168569,0.505,0.495,ENSMUST00000067485-0,ENSMUSG00000054414,0.0,1,2,2,0,0,0,0,0.0,2,0,0,0,1,2,0,0,0,0,0,0,0,0.025446926779094114
ENSMUST00000067496_ENSMUSG00000054428,6.869605131541391,0.3626094865460101,-6.506995644995386,0.0109210578391658,4.295237467366123e-08,0.052923370907991,0.0,1.0,ENSMUST00000067496,ENSMUSG00000054428,0.0,3,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6.516743583937887
ENSMUST00000067530-0_ENSMUSG00000054455,0.5477714303047354,0.346750944127339,-0.2010204861773969,0.8310717798714617,0.5226205741348726,1.0702229709620414,0.1275,0.8725,ENSMUST00000067530-0,ENSMUSG00000054455,0.0,1,0,0,0,0,0,0,0.0,2,0,0,0,1,0,0,0,0,0,0,0,0,-0.2669550065892561
ENSMUST00000067532-0_ENSMUSG00000024672,0.9399305041822014,0.3053817808854625,-0.634548723296739,0.5646133821969735,0.2157915471960347,0.9520180475226716,0.01,0.99,ENSMUST00000067532-0,ENSMUSG00000024672,0.0,1,1,1,0,0,0,2,0.0,1,0,0,0,1,1,0,0,0,0,2,0,0,-0.8246647716250625
ENSMUST00000067543-0_ENSMUSG00000032501,0.3440161903776769,0.5553544548613842,0.211338264483707,1.2580831753913544,0.8520923715337317,1.7807802930036205,0.8925,0.1075,ENSMUST00000067543-0,ENSMUSG00000032501,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33122730596750766
ENSMUST00000067563_ENSMUSG00000022359,7.162845588080144,0.3581959716548394,-6.804649616425292,0.0133473928449623,2.968932190045942e-09,0.0702592639851307,0.0,1.0,ENSMUST00000067563,ENSMUSG00000022359,0.0,3,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6.227298222915926
ENSMUST00000067567_ENSMUSG00000028670,0.5372925540166067,0.3407746199432991,-0.1965179340733077,0.8375423863517498,0.4890674606846197,1.1245243025139458,0.145,0.855,ENSMUST00000067567,ENSMUSG00000028670,0.0,3,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.25576589065992994
ENSMUST00000067582_ENSMUSG00000054484,0.947541277444346,0.3024677192826642,-0.6450735581616831,0.5491406789379507,0.2336899997477688,0.84388804833656,0.005,0.995,ENSMUST00000067582,ENSMUSG00000054484,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.864752308485364
ENSMUST00000067630-0_ENSMUSG00000027900,0.5809133656715195,0.5773476283026717,-0.0035657373688479,1.0196416997807238,0.6141019543010755,1.4770199196945883,0.4775,0.5225,ENSMUST00000067630-0,ENSMUSG00000027900,0.0076335877862595,6,2,2,0,0,0,7,0.0,3,0,0,1,1,2,0,0,0,0,7,0,0,0.028062280862583153
ENSMUST00000067631_ENSMUSG00000049922,0.5451788105272786,0.3339405877483634,-0.2112382227789154,0.824270268808924,0.5402136796443915,1.1451870084401663,0.1475,0.8525,ENSMUST00000067631,ENSMUSG00000049922,1.0,2,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.278810636679186
ENSMUST00000067638_ENSMUSG00000054520,0.3334234213772006,0.5510247397303487,0.2176013183531478,1.2698875991290013,0.8109609455525915,1.8201076883090783,0.86,0.14,ENSMUST00000067638,ENSMUSG00000054520,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34470080616628557
ENSMUST00000067663_ENSMUSG00000002102,7.046481624049555,0.3603443421098602,-6.686137281939686,0.0095262764266452,4.585816247118869e-08,0.0511716950189699,0.0,1.0,ENSMUST00000067663,ENSMUSG00000002102,0.0,5,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6.713871872264571
ENSMUST00000067664-0_ENSMUSG00000020849,7.157094491194755,0.361520819271391,-6.795573671923364,0.0097740747711149,4.954201975871541e-10,0.0486157999359291,0.0,1.0,ENSMUST00000067664-0,ENSMUSG00000020849,1.0,2,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,-6.676824143500453
ENSMUST00000067664_ENSMUSG00000020849,7.474609609671045,0.3642343242513656,-7.110375285419681,0.0082940598667221,1.575078088633183e-07,0.0421254332236212,0.0,1.0,ENSMUST00000067664,ENSMUSG00000020849,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6.9137058239733875
ENSMUST00000067752_ENSMUSG00000054619,0.9388997179610622,0.3021904729331398,-0.6367092450279221,0.5575560953040387,0.1942972256284818,0.8221864815220498,0.0125,0.9875,ENSMUST00000067752,ENSMUSG00000054619,0.7120098039215687,3,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.8428111340773018
ENSMUST00000067786_ENSMUSG00000037656,0.3398215152281784,0.5453967280433375,0.2055752128151591,1.2541949161549275,0.7844287697999429,1.7715165269095108,0.8675,0.1325,ENSMUST00000067786,ENSMUSG00000037656,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32676157678251705
ENSMUST00000067826_ENSMUSG00000055817,0.4050403572337276,0.3978656048844257,-0.0071747523493022,1.0045225110922424,0.7083386377951174,1.3183519779010175,0.4825,0.5175,ENSMUST00000067826,ENSMUSG00000055817,1.0,2,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.00650989485989958
ENSMUST00000067853_ENSMUSG00000054675,0.9516803648947516,0.3009321256872216,-0.6507482392075302,0.5463185745502334,0.2636536836177764,0.8534105418458737,0.0025,0.9975,ENSMUST00000067853,ENSMUSG00000054675,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8721856201290421
ENSMUST00000067896-0_ENSMUSG00000006390,0.5590610659086314,0.3423962620286008,-0.2166648038800309,0.8222306644746294,0.4909203200090274,1.1411410024276818,0.1275,0.8725,ENSMUST00000067896-0,ENSMUSG00000006390,1.0,3,0,0,0,0,0,0,1.0,2,0,2,2,1,0,0,0,0,0,0,0,2,-0.2823849177549963
ENSMUST00000067912-0_ENSMUSG00000055148,0.5514367687754355,0.3344704858684889,-0.2169662829069466,0.8182245270961163,0.5400654883595999,1.0741770229471006,0.13,0.87,ENSMUST00000067912-0,ENSMUSG00000055148,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2894313107907395
ENSMUST00000067924-0_ENSMUSG00000054720,0.4021296069434292,0.4120627840042672,0.0099331770608382,1.0253944735077332,0.6531279489423163,1.342134566750932,0.515,0.485,ENSMUST00000067924-0,ENSMUSG00000054720,0.0,1,0,1,0,0,0,0,1.0,2,0,0,0,1,0,1,0,0,0,0,0,0,0.03617902728272746
ENSMUST00000067925-0_ENSMUSG00000054717,0.5462125386228661,0.3353162435263858,-0.2108962950964803,0.822944314358867,0.5617080776202991,1.0855482837397166,0.1,0.9,ENSMUST00000067925-0,ENSMUSG00000054717,1.0,2,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.2811332828508131
ENSMUST00000067931_ENSMUSG00000054723,0.5441521573364014,0.3306287609392147,-0.2135233963971872,0.8223128340944111,0.5405652570857518,1.1277142789286236,0.1125,0.8875,ENSMUST00000067931,ENSMUSG00000054723,1.0,2,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.2822407492326403
ENSMUST00000067935_ENSMUSG00000043614,0.3366007011150508,0.5537590388202926,0.2171583377052421,1.2688499248612408,0.8629741080427992,1.804254620866952,0.875,0.125,ENSMUST00000067935,ENSMUSG00000043614,0.0,1,2,2,0,0,0,0,1.0,2,0,0,0,1,2,0,0,0,0,0,0,0,0.34352144233731324
