,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
994,1.519937317883212,2.751551596351625,1.2316142784684143,5.489383266622351,0.5504516732783757,14.115135565630384,0.98,0.02,ENSMUST00000036004,ENSMUSG00000046434,0.0,4,2,2,0,0,0,0,0.0,2,0,0,0,2,0,0,0,0,0,0,0,2.456644071240333,2.456644071240333,grey
993,1.519937317883212,2.751551596351625,1.2316142784684143,5.489383266622351,0.5504516732783757,14.115135565630384,0.98,0.02,ENSMUST00000036004,ENSMUSG00000046434,0.0,4,2,2,0,0,0,0,0.0,2,0,0,0,2,0,0,0,0,0,0,0,2.456644071240333,2.456644071240333,grey
1290,0.8133616862033327,2.251083351197637,1.4377216649943054,5.778410977637924,0.9352262186995632,16.14804598310266,0.9975,0.0025,ENSMUST00000074038-0,ENSMUSG00000044573,0.0,1,2,3,0,0,0,0,0.0,1,0,0,0,2,1,0,0,0,0,0,0,2.5306728162795973,2.5306728162795973,grey
1289,0.8133616862033327,2.251083351197637,1.4377216649943054,5.778410977637924,0.9352262186995632,16.14804598310266,0.9975,0.0025,ENSMUST00000074038-0,ENSMUSG00000044573,0.0,1,2,3,0,0,0,0,0.0,1,0,0,0,2,1,0,0,0,0,0,0,2.5306728162795973,2.5306728162795973,grey
1223,0.5710792984981691,2.075513886393132,1.5044345878949654,6.054881950362903,1.1557432913935202,15.40806294094229,1.0,0.0,ENSMUST00000064679-0,ENSMUSG00000052688,0.0,1,2,2,0,0,0,0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,2.598098832539548,2.598098832539548,red
1224,0.5710792984981691,2.075513886393132,1.5044345878949654,6.054881950362903,1.1557432913935202,15.40806294094229,1.0,0.0,ENSMUST00000064679-0,ENSMUSG00000052688,0.0,1,2,2,0,0,0,0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,2.598098832539548,2.598098832539548,red
1909,0.5711760904130596,2.133090233097912,1.5619141426848528,6.163468975378217,1.2876147809949268,17.203170282054085,0.9975,0.0025,ENSMUST00000162303,ENSMUSG00000084786,0.8723157283807312,5,1,2,0,1,2,2,0.0,1,0,1,2,1,1,0,1,2,0,0,1,2.623742569252094,2.623742569252094,red
1007,0.8021453842276923,2.350657062225458,1.5485116779977686,6.4595181306616,1.039755544864024,19.175345111104136,1.0,0.0,ENSMUST00000037127,ENSMUSG00000033423,0.0,2,6,6,0,0,0,0,1.0,2,0,0,0,6,0,0,0,0,0,0,0,2.6914265462761273,2.6914265462761273,red
1004,0.8021453842276923,2.350657062225458,1.5485116779977686,6.4595181306616,1.039755544864024,19.175345111104136,1.0,0.0,ENSMUST00000037127,ENSMUSG00000033423,0.0,2,6,6,0,0,0,0,1.0,2,0,0,0,6,0,0,0,0,0,0,0,2.6914265462761273,2.6914265462761273,red
1006,0.8021453842276923,2.350657062225458,1.5485116779977686,6.4595181306616,1.039755544864024,19.175345111104136,1.0,0.0,ENSMUST00000037127,ENSMUSG00000033423,0.0,2,6,6,0,0,0,0,1.0,2,0,0,0,6,0,0,0,0,0,0,0,2.6914265462761273,2.6914265462761273,red
1009,0.8021453842276923,2.350657062225458,1.5485116779977686,6.4595181306616,1.039755544864024,19.175345111104136,1.0,0.0,ENSMUST00000037127,ENSMUSG00000033423,0.0,2,6,6,0,0,0,0,1.0,2,0,0,0,6,0,0,0,0,0,0,0,2.6914265462761273,2.6914265462761273,red
