,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
164,0.5963534160606023,4.351772285147211,3.7554188690866126,480.43923346848095,2.3809005477246665,906.2265449398268,1.0,0.0,ENSMUST00000237759,ENSMUSG00000073422,0.0,4,0,0,0,0,0,9,0.0,1,1,1,0,0,0,0,0,0,9,1,0,8.908210158510293,8.908210158510293,red
117,0.4729897611789018,4.366367282727911,3.893377521549005,544.9315197162547,2.9603424658196302,677.8009583012152,1.0,0.0,ENSMUST00000134637,ENSMUSG00000023505,1.0,2,0,0,0,0,1,5,1.0,2,1,1,1,0,0,0,0,1,4,1,0,9.089931130906049,9.089931130906049,red
63,0.6122034003150231,5.114404965875998,4.5022015655609735,578.9700843577631,3.930982914564112,2117.613488291838,1.0,0.0,ENSMUST00000009831,ENSMUSG00000009687,0.0,5,0,0,0,0,0,9,0.0,3,1,1,0,0,0,0,0,0,9,1,0,9.177344995219448,9.177344995219448,red
109,0.6109553913521256,5.258259784544999,4.647304393192872,933.8223135087526,1.870244107501126,3853.9111661737866,1.0,0.0,ENSMUST00000125775-0,ENSMUSG00000008682,0.1629268292682927,8,1,1,0,0,0,0,1.0,2,1,1,3,1,0,0,0,0,0,1,0,9.867004251693672,9.867004251693672,red
161,0.4803774719781044,5.134939202186156,4.654561730208047,1117.4523711626985,2.6361609341980405,3773.652172310031,1.0,0.0,ENSMUST00000232784,ENSMUSG00000067722,0.0,1,0,0,0,0,0,0,1.0,2,1,1,0,0,0,0,0,0,0,1,0,10.125997625823036,10.125997625823036,red
124,0.6083997393758945,5.415274708845044,4.80687496946914,1235.2762543887914,3.041943267048542,2770.797135198077,1.0,0.0,ENSMUST00000143418,ENSMUSG00000020460,0.1515994436717663,6,0,0,0,1,0,0,0.0,2,1,1,1,0,0,0,1,0,0,1,0,10.270618003612045,10.270618003612045,red
182,1.4607851288489662,6.140994313049435,4.680209184200468,1269.053955853797,2.386601998831963,4112.065197311227,1.0,0.0,bffcedef-834f-4b24-b505-d2ec3f02dbca-0,ENSMUSG00000095742,0.0,1,0,0,0,0,0,0,0.0,1,2,2,0,0,0,0,0,0,0,2,0,10.309537693626678,10.309537693626678,red
183,1.4607851288489662,6.140994313049435,4.680209184200468,1269.053955853797,2.386601998831963,4112.065197311227,1.0,0.0,bffcedef-834f-4b24-b505-d2ec3f02dbca-0,ENSMUSG00000095742,0.0,1,0,0,0,0,0,0,0.0,1,2,2,0,0,0,0,0,0,0,2,0,10.309537693626678,10.309537693626678,red
154,1.213135176534721,6.063198702932576,4.850063526397857,1421.0714522474948,2.170956705392125,3147.2413084423856,1.0,0.0,ENSMUST00000222087,ENSMUSG00000031838,0.0,1,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,1,0,10.472763380559826,10.472763380559826,red
128,0.4989056291236357,5.480049408462428,4.981143779338795,1524.983178597346,2.087495991288158,5394.617613725947,1.0,0.0,ENSMUST00000153056,ENSMUSG00000021134,0.345679012345679,4,0,0,1,1,1,1,0.0,1,1,1,1,0,0,1,0,1,0,1,0,10.574577613706113,10.574577613706113,red
