,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
1022,0.3655654934750422,0.914822561778154,0.5492570683031122,1.8203419588570728,0.9206534704141356,2.9981091565967657,0.985,0.015,a674b571-3b39-42c7-97b1-76996aae66fe-0,ENSMUSG00000025613,0.0014708972473208,3,9,10,0,1,0,3,1.0,2,0,0,1,9,1,0,1,0,3,0,0,0.8642094921856048,grey
260,0.377051780770949,0.9193415039378664,0.5422897231669173,1.8256048106367464,0.8549956541470208,3.0783753067738244,0.9625,0.0375,6967030c-40bd-4199-9a46-eecc1cfb5f5a-0,ENSMUSG00000059475,0.0,1,4,5,0,1,0,4,1.0,3,1,1,0,4,1,0,1,0,4,1,0,0.8683744983784925,grey
144,0.3735661831221298,0.9168770127106916,0.5433108295885624,1.827805226341785,0.8243006213614127,3.314923584408632,0.9725,0.0275,3b35ab7a-939d-476f-be41-fd3f7a985248-0,ENSMUSG00000059475,0.0,1,4,5,0,1,0,4,0.9744680851063828,3,1,1,0,4,1,0,1,0,4,1,0,0.8701123428455958,grey
757,6.172955574677383,5.980304317251614,-0.1926512574257689,1.827916542047972,0.0165211203575812,6.0653550771674185,0.45,0.55,ENSMUST00000124996,ENSMUSG00000071451,0.0,1,0,1,0,0,0,0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0.8702002021672364,grey
1222,0.3663153047606162,0.9146681920837996,0.5483528873231831,1.8283505100738495,0.9623188318501058,3.0295573076854825,0.9825,0.0175,fb7f2189-1962-49c5-b068-1755e74f8395-0,ENSMUSG00000078867,0.0,1,0,2,0,0,0,7,0.0,1,0,0,0,0,2,0,0,0,7,0,0,0.8705426736075621,grey
1221,0.3663153047606162,0.9146681920837996,0.5483528873231831,1.8283505100738495,0.9623188318501058,3.0295573076854825,0.9825,0.0175,fb7f2189-1962-49c5-b068-1755e74f8395-0,ENSMUSG00000078867,0.0,1,0,2,0,0,0,7,0.0,1,0,0,0,0,2,0,0,0,7,0,0,0.8705426736075621,grey
860,0.4435162731229477,0.9902686629180713,0.546752389795124,1.8305778813230145,0.896694440128583,3.0681611693109416,0.975,0.025,ENSMUST00000163425-0,ENSMUSG00000039232,0.0,1,0,1,0,1,0,0,1.0,3,0,0,0,0,1,0,1,0,0,0,0,0.8722991539256155,grey
157,0.3586147783513441,0.9155820522029688,0.5569672738516245,1.831343720229212,0.9537080876124088,3.0097559500414834,0.985,0.015,3ddef5f3-3878-4f0b-9b84-12ad78a378e8-0,ENSMUSG00000026927,0.002924689251767,4,2,3,0,1,0,0,0.0,1,1,5,1,2,1,0,1,0,0,1,4,0.8729025922994632,grey
244,0.4459077987348879,1.0001905179738333,0.5542827192389462,1.8330990126620736,0.9062278767833298,3.1420635568420527,0.9775,0.0225,60aacd82-2ed2-49ed-892e-9786a6efd6d7-0,ENSMUSG00000038206,0.0,1,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0.8742847134384566,grey
555,0.4566374703294811,1.007823203986626,0.5511857336571462,1.8333393040518,0.8939223589620824,3.077622157279587,0.98,0.02,ENSMUST00000063262,ENSMUSG00000058291,0.0,1,0,1,0,0,0,6,0.0,2,0,0,0,0,1,0,0,0,6,0,0,0.8744738164135387,grey
151,0.3629523173867129,0.9122587853853992,0.5493064679986867,1.8334584897389916,0.9462277637004106,3.150807177336909,0.99,0.01,3c981b55-71cb-445f-a553-573de6ca25da-0,ENSMUSG00000061904,0.0167966406718656,7,0,2,0,0,0,0,0.0,1,2,2,1,0,2,0,0,0,0,2,0,0.8745676032049501,grey
150,0.3629523173867129,0.9122587853853992,0.5493064679986867,1.8334584897389916,0.9462277637004106,3.150807177336909,0.99,0.01,3c981b55-71cb-445f-a553-573de6ca25da-0,ENSMUSG00000061904,0.0167966406718656,7,0,2,0,0,0,0,0.0,1,2,2,1,0,2,0,0,0,0,2,0,0.8745676032049501,grey
114,0.4407471408821046,0.9856296964181206,0.5448825555360157,1.8337978343600296,0.8217377535587476,3.108223632452064,0.9725,0.0275,2fd2e670-2983-4dd5-9bd6-ff2ecd86c36f-0,ENSMUSG00000068921,0.0452927601986936,5,3,4,0,0,0,0,0.0,1,0,0,3,3,1,0,0,0,0,0,0,0.8748345988878555,grey
624,0.3692193693310406,0.9265662730399232,0.5573469037088824,1.83394131071396,0.9957636105518408,3.033615332525074,0.99,0.01,ENSMUST00000094762,ENSMUSG00000002983,0.0,2,0,1,0,1,0,10,1.0,2,0,0,0,0,1,0,1,0,10,0,0,0.8749474709413022,grey
658,0.3597555999060279,0.915916425867032,0.5561608259610041,1.835247531840552,1.01988680595754,3.222443080906064,0.995,0.005,ENSMUST00000106506-0,ENSMUSG00000020743,0.0901287553648068,3,0,1,0,0,0,2,0.0,1,0,1,1,0,1,0,0,0,2,0,1,0.8759746619102663,red
379,0.360993155496973,0.9221337331061608,0.5611405776091892,1.8595311762278173,0.9469754616142092,3.2133906856715635,0.985,0.015,9943a4a3-1bc1-470a-a700-1ebbd04d6c51-0,ENSMUSG00000039648,0.0,2,0,3,0,0,0,0,0.0,1,0,0,0,0,3,0,0,0,0,0,0,0.8949389358564469,grey
